mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source,geometry,eez_name,inside_indonesia_eez,distance_to_lane_km,inside_shipping_lane,nearest_port,distance_to_port_km,protected_name,protected_category,protected_no_take,distance_to_protected_km,inside_protected_area,bathymetry_m,year,month,day,hour,minute,day_of_week,is_weekend,time_gap_second,previous_speed,previous_course,acceleration,course_change,distance_previous_km,is_stop,trip_id,speed_change,acceleration_abs,turning_rate,heading_sin,heading_cos,hour_sin,hour_cos,month_sin,month_cos,movement_state,log_distance_port,log_distance_shore,depth_abs,historical_points,trip_length,gps_gap,missing_course,anomaly_score,embedding_norm
165172979135964,2015-07-11 16:56:12,-0.5449377251714139,-0.6516490348166272,2.2557186443821164,0.129417513122822,3.33668,117.96564,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00\x00\xcd}]@\xff\xff\xff?\x85\xb1\n@',Indonesian Exclusive Economic Zone,True,-0.5261719005182782,False,TANJUNG ARANG  (BUNYU),-0.666659873621959,Pulau Maratua-Karang Muaras,VI,Not Reported,-0.21497538850333425,False,0.6304980379265712,2015,7,11,16,56,5,1,175930.0,0.1,285.2,-0.003560809641919345,70.30002,82.09904,0,33,1.6298462343687097,-0.03566126480208403,-0.10792891275971964,0.0022587597930346388,0.9999974489988449,-0.8660254037844385,-0.5000000000000004,-0.4999999999999997,-0.8660254037844388,1,-0.750582842189243,-0.4810517469986834,-0.4368516488547729,1.4350130946115454,-0.9178761115562626,2.2826163186204402,0,4.8668437,18.668898
165172979135964,2016-09-16 09:31:33,-0.6512046284794214,-0.18411908281986827,-0.9244594868618123,1.0473630434846013,-5.8664684,110.4096,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\xdf6\x9a[@\x00\x00\x00\x80Cw\x17\xc0',Indonesian Exclusive Economic Zone,True,-0.3927182183052492,False,SEMARANG,-0.29693619376195446,Kepulauan Karimun Jawa,II,Not Reported,-0.7627133005621268,True,0.6485248829851649,2016,9,16,9,31,4,0,19726.0,16.1,274.0,-0.016320413357338078,44.700012,21.368351,1,138,-2.7592818533392136,-0.022891848986023127,-0.10425591269687567,0.018278915531364154,0.9998329266667493,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0,0.08461957506552627,-0.802361051440522,-0.40195980682761506,1.4350130946115454,-0.8818227867658367,2.2826163186204402,0,4.858864,19.417793
165172979135964,2016-11-01 08:39:25,-0.6512046284794214,-0.6417602523710697,-0.943389119308986,0.8819912747456078,4.0716667,117.78,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00\x80\xebq]@\x00\x00\x00\x00cI\x10@',Indonesian Exclusive Economic Zone,True,-0.3543674608604811,False,TANJUNG ARANG  (BUNYU),-0.49379350545102213,Kayan Mentarang,II,Not Applicable,-0.013189012220060416,False,0.6442832723831428,2016,11,1,8,39,1,0,28803.0,16.0,8.0,-0.012722880949472664,68.0,70.603836,1,146,-2.7407298934907587,-0.026492147886550594,-0.10406924071917492,0.015393043767178274,0.9998815200830455,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,0,-0.28302380636117275,-0.802361051440522,-0.41016965201047584,1.4350130946115454,-0.9421427724728955,2.2826163186204402,0,4.8513565,18.55937
165172979135964,2015-08-20 21:24:12,-0.5339603664133171,-0.2711684661211052,0.9874333254258171,-1.5994679808691097,1.06979,124.00961,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\x7f\x9d\x00_@\xff\xff\xff\x1f\xdc\x1d\xf1?',Indonesian Exclusive Economic Zone,True,-0.47605662919642916,False,MANADO,-0.36274270019353205,Bogani Nani Wartabone,II,Not Applicable,-0.6359198327629426,False,-0.825434801217488,2015,8,20,21,24,3,0,24190.0,11.3,109.9,-0.005544770868719892,90.5,136.3686,0,42,-1.2233546416076977,-0.03367577791448227,-0.10135282617406798,-0.02791235685711882,0.9996103742632331,-0.7071067811865477,0.7071067811865474,-0.8660254037844385,-0.5000000000000004,0,-0.025363726828834053,-0.4522535093948061,-0.05954199051332777,1.4350130946115454,-0.7653428143659992,2.2826163186204402,0,4.8474054,43.216007
165172979135964,2015-08-20 21:39:36,-0.5075735511923227,-0.283706423406395,1.0063630298017334,-1.5826655160342675,1.1140667,124.02556,-1,false_positives,b'\x01\x01\x00\x00\x00\xfe\xff\xff\xbf\xa2\x01_@\x00\x00\x00\xa07\xd3\xf1?',Indonesian Exclusive Economic Zone,True,-0.5053535828017867,False,MANADO,-0.37666576365340926,Bogani Nani Wartabone,II,Not Applicable,-0.6138866551252432,False,-0.8360388277225431,2015,8,20,21,39,3,0,924.0,10.2,19.4,-0.0033816047391051164,1.8999996,5.2326293,0,42,-0.9673024122140695,-0.03584060751298236,-0.1046728911451587,-0.02761921158825877,0.9996185168109097,-0.7071067811865477,0.7071067811865474,-0.8660254037844385,-0.5000000000000004,1,-0.05008640528026746,-0.38571468018030053,-0.03901737755617606,1.4350130946115454,-0.7653428143659992,-0.4380937750433577,0,4.830387,43.42641
87919276942456,2016-02-28 01:52:10,-0.6617833323909948,-0.7463537323333495,-0.943389119308986,1.3683785123552565,-8.744333,115.212,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xff\xff\xff_\x91\xcd\\@\xff\xff\xff?\x19}!\xc0',,False,-0.572300340558806,True,BENOA,-0.7394980441776365,Ngurah Rai,VI,Part,-0.7577615533688401,False,0.650115486960923,2016,2,28,1,52,6,1,32.0,0.0,174.0,-0.004904776472312219,179.0,0.0,1,6,0.9206567490909591,-0.03431626446484457,10.566306927185485,0.02388044013346589,0.9997148216261635,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,0,-1.0265120917512573,-0.83957087531293,-0.3988811148840425,-0.22613320381479235,-0.061609647783647234,-0.4380937750433577,0,4.81281,6.900471
165172979135964,2015-05-18 08:11:13,-0.654303058960095,-0.5284015219744733,3.0696930441138695,0.08520049152194481,-8.129093,114.4142,-1,false_positives,b'\x01\x01\x00\x00\x00\x01\x00\x00@\x82\x9a\\@\xff\xff\xff\x7f\x18B \xc0',Indonesian Exclusive Economic Zone,True,-0.5723697112336011,True,CELUKAN BAWANG,-0.5697839165157256,Bali Barat,II,Not Reported,-0.7561118695091072,False,0.6172430047952524,2015,5,18,8,11,0,0,953.0,2.6,91.8,0.26978293983017704,118.09999,9.400446,0,14,1.2440217807912064,0.2307655894820656,0.13491492387820359,0.0014870285533419537,0.9999988943724296,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,1,-0.4650611161882277,-0.8131413891904231,-0.46250741505121246,1.4350130946115454,-0.6377695112614151,-0.4380937750433577,0,4.7735734,11.70781
165172979135964,2016-01-09 03:22:44,-0.6468227855291951,-0.7405623966244594,-0.943389119308986,-0.6567610769649175,-0.51,104.575,-1,false_positives,b'\x01\x01\x00\x00\x00\x01\x00\x00\xc0\xcc$Z@\x00\x00\x00\x80\xebQ\xe0\xbf',Indonesian Exclusive Economic Zone,True,-0.3444172914907364,False,DABO,-0.7372007898260733,Hutan Bakau Pantai Timur,Ia,Part,-0.47037327772752874,False,0.6490550843104176,2016,1,9,3,22,5,1,10238.0,15.9,148.7,-0.026762311662204746,22.699997,53.355453,1,80,-2.717846139680363,-0.012441920889687406,-0.10435218332726322,-0.011462392176667424,0.999934304624853,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,-1.0166860724188702,-0.7872777132272638,-0.4009335761797575,1.4350130946115454,-0.8984627828229563,2.2826163186204402,0,4.764124,16.235764
23593130178765,2015-07-09 00:27:36,-0.6617833323909948,-0.7369831554229394,-0.943389119308986,-0.02711071635635496,1.31115,103.72564,-1,gfw,b'\x01\x01\x00\x00\x00\x01\x00\x00\xe0p\xeeY@\x01\x00\x00`x\xfa\xf4?',,False,-0.4609535903068007,False,PULAU SAMBU,-0.6499746129396283,Muka Kuning,V,Not Applicable,-0.5961127464040571,False,0.6527664935871869,2015,7,9,0,27,3,0,31.0,0.0,0.0,-0.004904776472312219,162.8,0.0011154898,1,2,0.9206567490909591,-0.03431626446484457,9.903590866280918,-0.0004731712453362066,0.99999988805448,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,-0.6959210701174209,-0.83957087531293,-0.39374996164475445,-1.1583585892003192,1.1011100767075885,-0.4380937750433577,0,4.761921,9.065895
165172979135964,2016-09-13 03:12:44,-0.6617833323909948,-0.736222836570205,-0.943389119308986,0.8872973713135696,-3.3288767,114.557,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\xdf\xa5\xa3\\@\xfe\xff\xff\x1f\x8a\xa1\n\xc0',Indonesian Exclusive Economic Zone,True,-0.4039935048364874,False,BANJARMASIN,-0.7316045959745656,Pulau Kaget,IV,Part,-0.7570001833990604,False,0.650115486960923,2016,9,13,3,12,1,0,252076.0,17.8,343.7,-0.005898596331922198,43.100006,86.0099,1,137,-3.1526357161926817,-0.03332168036045864,-0.10837882012443266,0.015485641584287653,0.999880090263189,0.7071067811865476,0.7071067811865476,-1.0,-1.8369701987210297e-16,0,-0.9931045087726669,-0.83957087531293,-0.3988811148840425,1.4350130946115454,-0.9324361081062423,2.2826163186204402,0,4.761848,15.525738
